"","location","lat_group","year","num_turtles_numeric","latitude","longitude","data_quality_index","decade"
"1","balboa_beach","north",1908,1,33.5970701,-117.8911576,8,1900
"2","cedros_island","south",1914,1,28.2012034,-115.2522841,7,1910
"3","ensenada","north",1887,2,31.8423287,-116.6099414,7,1880
"4","hermosa_beach","north",1932,1,33.8646948,-118.3974148,7,1930
"5","la_jolla","north",1923,1,32.8725212,-117.248572,8,1920
"6","long_beach","north",1907,1,33.800208,-118.156115,7,1900
"7","los_angeles","north",1886,1,34.020479,-118.4117325,7,1880
"8","magdalena_bay","south",1917.5,17.8671875,24.5833326,-112,7.83333333333333,1911.66666666667
"9","mission_bay","north",1917,1,32.777574,-117.229321,8,1910
"10","punta_banda","north",1897,1,31.7196805,-116.662891,7.5,1890
"11","san_diego","north",1906.66666666667,5.33333333333333,32.8245525,-117.1089785,8,1903.33333333333
"12","san_pedro","north",1903,1,33.7395016,-118.28357,7,1900
"13","santa_barbara","north",1899,1,34.398587,-119.7498556,7.5,1895
"14","santa_catalina_island","north",1901.5,1.5,33.3889849,-118.4549433,8,1900
"15","santa_cruz_islands","north",1915,1,34.0184307,-119.7250486,9,1910
"16","scammons_lagoon","south",1895,133.5875,27.7499996,-114.25,7.9,1890
"17","todos_santos_bay","north",1897,1,31.7890284,-116.6749348,7.5,1890
"18","turtle_bay","south",1921.66666666667,36.7300347222222,27.6943941,-114.8965209,8.11111111111111,1913.33333333333
"19","venice","north",1919,1,33.9874998,-118.4617152,7,1910
