Latitude,Longitude,Value
-67.5,-62.5,1.357868575
-62.5,-77.5,1.233206867
-62.5,-72.5,1.107758633
-62.5,-67.5,0.956245009
-62.5,-62.5,0.716527234
-62.5,-42.5,3.577278663
-57.5,-82.5,0.940206623
-57.5,-77.5,0.92755541
-57.5,-72.5,0.84415092
-57.5,-67.5,0.804713094
-57.5,-62.5,0.94389896
-57.5,-57.5,0.919397988
-57.5,-52.5,1.260841467
-57.5,-47.5,1.251764955
-57.5,167.5,0.891690949
-57.5,177.5,1.084504798
-52.5,-177.5,1.118789943
-52.5,-172.5,1.168660351
-52.5,-167.5,1.064608043
-52.5,-162.5,0.932541002
-52.5,-157.5,0.889046184
-52.5,-152.5,0.696335726
-52.5,-147.5,0.529519009
-52.5,-82.5,0.952761433
-52.5,-77.5,0.856567832
-52.5,-72.5,0.530858066
-52.5,-67.5,0.893106382
-52.5,-62.5,1.429427679
-52.5,-57.5,1.421669398
-52.5,-52.5,2.006123944
-52.5,-47.5,2.305981583
-52.5,-42.5,2.098236461
-52.5,-37.5,0.967055355
-52.5,47.5,3.091707184
-52.5,52.5,3.03331394
-52.5,57.5,2.671700898
-52.5,62.5,2.341353203
-52.5,67.5,2.087223908
-52.5,72.5,1.906520484
-52.5,77.5,1.859451359
-52.5,82.5,1.8397020610000001
-52.5,87.5,1.958187598
-52.5,92.5,1.959665199
-52.5,97.5,1.976607282
-52.5,102.5,1.913205453
-52.5,107.5,1.844801153
-52.5,112.5,1.819521814
-52.5,137.5,1.72893684
-52.5,147.5,1.590155823
-52.5,152.5,1.554650709
-52.5,157.5,1.67685431
-52.5,162.5,1.674913463
-52.5,167.5,1.527028461
-52.5,172.5,1.255811907
-52.5,177.5,1.191543409
-47.5,-177.5,1.472504774
-47.5,-172.5,1.545747944
-47.5,-167.5,1.516053364
-47.5,-162.5,1.410090241
-47.5,-157.5,1.284747334
-47.5,-152.5,1.096831091
-47.5,-147.5,1.157862135
-47.5,-142.5,0.982041979
-47.5,-137.5,0.596896847
-47.5,-132.5,0.508333437
-47.5,-87.5,1.276024792
-47.5,-82.5,1.314578323
-47.5,-77.5,1.292177108
-47.5,-72.5,1.180764833
-47.5,-67.5,1.32610059
-47.5,-62.5,2.08996714
-47.5,-57.5,2.393974864
-47.5,-52.5,2.706370541
-47.5,-47.5,2.964569761
-47.5,-42.5,2.689331581
-47.5,-37.5,2.192316549
-47.5,-32.5,1.904369424
-47.5,22.5,2.690432196
-47.5,27.5,2.570240108
-47.5,32.5,2.465775277
-47.5,37.5,2.293581745
-47.5,42.5,2.472382763
-47.5,47.5,2.640106586
-47.5,52.5,2.4400526830000002
-47.5,57.5,2.517475734
-47.5,62.5,2.333847652
-47.5,67.5,2.081870873
-47.5,72.5,1.846116985
-47.5,77.5,2.008511358
-47.5,82.5,2.118746754
-47.5,87.5,2.157473311
-47.5,92.5,2.180538469
-47.5,97.5,2.1787757
-47.5,102.5,2.032040878
-47.5,107.5,1.827771245
-47.5,112.5,1.826809265
-47.5,117.5,1.975194664
-47.5,122.5,1.965707755
-47.5,127.5,1.942370587
-47.5,132.5,2.03021247
-47.5,137.5,2.175647099
-47.5,142.5,2.297347022
-47.5,147.5,2.329008077
-47.5,152.5,2.221868191
-47.5,157.5,2.289194137
-47.5,162.5,2.108508018
-47.5,167.5,1.787588364
-47.5,172.5,1.606310588
-47.5,177.5,1.473611911
-42.5,-177.5,1.945419154
-42.5,-172.5,1.869342772
-42.5,-167.5,1.889435905
-42.5,-162.5,1.755320462
-42.5,-157.5,1.627613006
-42.5,-152.5,1.498229298
-42.5,-147.5,1.341239275
-42.5,-142.5,1.299145499
-42.5,-137.5,1.286169824
-42.5,-132.5,1.197551361
-42.5,-127.5,1.16578221
-42.5,-122.5,1.126348417
-42.5,-87.5,1.517262736
-42.5,-82.5,1.773806918
-42.5,-77.5,1.818165595
-42.5,-72.5,1.417364544
-42.5,-67.5,2.440920815
-42.5,-62.5,2.687424122
-42.5,-57.5,3.125424915
-42.5,-52.5,3.463882295
-42.5,-47.5,3.2732288
-42.5,-42.5,2.884501997
-42.5,-37.5,2.3391423160000002
-42.5,-32.5,2.127410207
-42.5,-27.5,1.875939053
-42.5,-22.5,1.727668084
-42.5,-17.5,1.627422554
-42.5,-12.5,1.980685845
-42.5,-7.5,2.321137911
-42.5,-2.5,2.498659982
-42.5,2.5,2.615530218
-42.5,7.5,2.85027989
-42.5,12.5,2.850166873
-42.5,17.5,2.83155122
-42.5,22.5,2.56584578
-42.5,27.5,2.410314796
-42.5,32.5,2.227986435
-42.5,37.5,2.214048764
-42.5,42.5,2.162214392
-42.5,47.5,2.348381922
-42.5,52.5,2.578902415
-42.5,57.5,2.510818316
-42.5,62.5,2.366972518
-42.5,67.5,2.115231902
-42.5,72.5,1.928029236
-42.5,77.5,1.915291708
-42.5,82.5,2.007971311
-42.5,87.5,2.071200771
-42.5,92.5,2.16653496
-42.5,97.5,2.188696498
-42.5,102.5,1.943660604
-42.5,107.5,1.681036146
-42.5,112.5,1.636449456
-42.5,117.5,1.733162415
-42.5,122.5,1.838782021
-42.5,127.5,1.898570591
-42.5,132.5,2.140772583
-42.5,137.5,2.376869151
-42.5,142.5,2.586466891
-42.5,147.5,2.645770876
-42.5,152.5,2.649415119
-42.5,157.5,2.508314841
-42.5,162.5,2.295328622
-42.5,167.5,2.000450409
-42.5,172.5,2.058491541
-42.5,177.5,1.847912302
-37.5,-177.5,2.062072237
-37.5,-172.5,2.041383152
-37.5,-167.5,2.049438112
-37.5,-162.5,1.988992178
-37.5,-157.5,1.95365378
-37.5,-152.5,1.952785448
-37.5,-147.5,1.987920789
-37.5,-142.5,1.729201835
-37.5,-137.5,1.665747588
-37.5,-132.5,1.640224998
-37.5,-127.5,1.478506414
-37.5,-122.5,1.547624498
-37.5,-117.5,1.599714216
-37.5,-87.5,1.376382659
-37.5,-82.5,1.818235299
-37.5,-77.5,1.757493115
-37.5,-72.5,0.977119597
-37.5,-67.5,1.4683577
-37.5,-62.5,2.128807272
-37.5,-57.5,2.934406886
-37.5,-52.5,3.199217627
-37.5,-47.5,3.051190042
-37.5,-42.5,2.735680248
-37.5,-37.5,2.241575494
-37.5,-32.5,2.068047254
-37.5,-27.5,2.105500369
-37.5,-22.5,2.020956497
-37.5,-17.5,1.87999592
-37.5,-12.5,1.956175431
-37.5,-7.5,2.237165214
-37.5,-2.5,2.425398977
-37.5,2.5,2.599593056
-37.5,7.5,2.71729709
-37.5,12.5,2.630206931
-37.5,17.5,2.429317382
-37.5,22.5,2.234944827
-37.5,27.5,2.141141731
-37.5,32.5,2.015608184
-37.5,37.5,1.891429248
-37.5,42.5,1.851802866
-37.5,47.5,2.138993502
-37.5,52.5,2.349808514
-37.5,57.5,2.349103066
-37.5,62.5,2.183618581
-37.5,67.5,2.031405661
-37.5,72.5,1.921247121
-37.5,77.5,1.76684756
-37.5,82.5,1.886341715
-37.5,87.5,1.932568809
-37.5,92.5,1.964034049
-37.5,97.5,2.015748731
-37.5,102.5,1.913906139
-37.5,107.5,1.697099803
-37.5,112.5,1.647552855
-37.5,117.5,1.717770191
-37.5,122.5,1.816540353
-37.5,127.5,1.941862873
-37.5,132.5,2.218347645
-37.5,137.5,2.424797438
-37.5,142.5,2.377612311
-37.5,147.5,2.727297914
-37.5,152.5,2.794286952
-37.5,157.5,2.600753937
-37.5,162.5,2.392766616
-37.5,167.5,2.080391682
-37.5,172.5,2.089474657
-37.5,177.5,2.260571687
-32.5,-177.5,2.162002948
-32.5,-172.5,2.122067649
-32.5,-167.5,2.024524766
-32.5,-162.5,2.012858017
-32.5,-157.5,2.117116843
-32.5,-152.5,2.156650146
-32.5,-147.5,2.120650035
-32.5,-142.5,2.2091805
-32.5,-137.5,1.935796719
-32.5,-132.5,1.988302845
-32.5,-127.5,1.793114449
-32.5,-122.5,1.738129645
-32.5,-117.5,1.70605532
-32.5,-112.5,1.615572087
-32.5,-107.5,1.460132763
-32.5,-87.5,0.94767708
-32.5,-82.5,1.488570645
-32.5,-77.5,1.351434517
-32.5,-72.5,1.259766553
-32.5,-67.5,1.609859549
-32.5,-62.5,2.071432073
-32.5,-57.5,2.755078866
-32.5,-52.5,2.999424826
-32.5,-47.5,2.655040928
-32.5,-42.5,2.341152065
-32.5,-37.5,2.126401196
-32.5,-32.5,2.143040066
-32.5,-27.5,2.292219778
-32.5,-22.5,2.14168871
-32.5,-17.5,2.085026906
-32.5,-12.5,1.977995621
-32.5,-7.5,2.085930631
-32.5,-2.5,2.208370489
-32.5,2.5,2.3128244590000002
-32.5,7.5,2.332287098
-32.5,12.5,2.261109328
-32.5,17.5,2.259904409
-32.5,22.5,2.834653497
-32.5,27.5,2.186497181
-32.5,32.5,2.007206989
-32.5,37.5,1.796663984
-32.5,42.5,1.757776221
-32.5,47.5,1.948953907
-32.5,52.5,2.038246864
-32.5,57.5,2.030225846
-32.5,62.5,1.924193935
-32.5,67.5,1.792072769
-32.5,72.5,1.727312943
-32.5,77.5,1.746876001
-32.5,82.5,1.751933168
-32.5,87.5,1.801004101
-32.5,92.5,1.910430049
-32.5,97.5,1.977958913
-32.5,102.5,1.877459585
-32.5,107.5,1.756469751
-32.5,112.5,1.763151555
-32.5,117.5,2.400183132
-32.5,122.5,2.324717346
-32.5,127.5,2.179675893
-32.5,132.5,2.333861645
-32.5,137.5,2.132196277
-32.5,142.5,2.166259101
-32.5,147.5,1.934246261
-32.5,152.5,2.547342009
-32.5,157.5,2.490738871
-32.5,162.5,2.400884781
-32.5,167.5,2.180750591
-32.5,172.5,2.115739513
-32.5,177.5,2.147807633
-27.5,-177.5,2.207304849
-27.5,-172.5,2.110591356
-27.5,-167.5,2.144370118
-27.5,-162.5,1.978724148
-27.5,-157.5,1.91976555
-27.5,-152.5,1.949977174
-27.5,-142.5,1.915556217
-27.5,-137.5,1.902297611
-27.5,-132.5,1.661017071
-27.5,-127.5,1.686554175
-27.5,-122.5,1.526528821
-27.5,-117.5,1.458785113
-27.5,-112.5,1.251701929
-27.5,-107.5,1.089944508
-27.5,-102.5,0.820178
-27.5,-87.5,0.736639988
-27.5,-82.5,1.250539664
-27.5,-77.5,1.223940194
-27.5,-72.5,1.28220728
-27.5,-67.5,1.814624811
-27.5,-62.5,2.105974864
-27.5,-57.5,2.372797579
-27.5,-52.5,3.331761857
-27.5,-47.5,2.740797674
-27.5,-42.5,2.244273285
-27.5,-37.5,2.115228414
-27.5,-32.5,2.144830662
-27.5,-27.5,2.217196522
-27.5,-22.5,2.10608552
-27.5,-17.5,1.937032179
-27.5,-12.5,1.692068938
-27.5,-7.5,1.763718266
-27.5,-2.5,1.858596973
-27.5,2.5,1.972325257
-27.5,7.5,2.014774929
-27.5,12.5,2.095693466
-27.5,17.5,2.670387656
-27.5,22.5,3.254425532
-27.5,27.5,3.32282707
-27.5,32.5,2.323765548
-27.5,37.5,1.755890638
-27.5,42.5,1.679531236
-27.5,47.5,1.677198988
-27.5,52.5,1.533691036
-27.5,57.5,1.436837178
-27.5,62.5,1.392202783
-27.5,67.5,1.34030289
-27.5,72.5,1.466016284
-27.5,77.5,1.559821882
-27.5,82.5,1.501539048
-27.5,87.5,1.629747447
-27.5,92.5,1.794451882
-27.5,97.5,1.875565551
-27.5,102.5,1.85992205
-27.5,107.5,1.787931038
-27.5,112.5,1.808985297
-27.5,117.5,2.661987477
-27.5,122.5,2.782640537
-27.5,127.5,3.296701129
-27.5,132.5,3.125853765
-27.5,137.5,2.893357044
-27.5,142.5,2.311411953
-27.5,147.5,1.693167871
-27.5,152.5,2.209493532
-27.5,157.5,2.413470473
-27.5,162.5,2.34670462
-27.5,167.5,2.190393422
-27.5,172.5,2.041407049
-27.5,177.5,2.07919484
-22.5,-177.5,2.078932774
-22.5,-172.5,1.972745934
-22.5,-167.5,2.062822567
-22.5,-162.5,1.894250906
-22.5,-157.5,1.519706044
-22.5,-152.5,1.791814135
-22.5,-142.5,1.556672436
-22.5,-137.5,1.44960023
-22.5,-132.5,1.323458433
-22.5,-127.5,1.202008533
-22.5,-122.5,1.073711024
-22.5,-117.5,0.911082184
-22.5,-112.5,0.846684253
-22.5,-107.5,0.705517473
-22.5,-102.5,0.630676365
-22.5,-97.5,0.575001369
-22.5,-92.5,0.551689869
-22.5,-87.5,1.062311697
-22.5,-82.5,1.425515626
