year,enso,source
1899,nino,
1900,nino,"https://www.whoi.edu/science/b/people/kamaral/ElNinoYrsNoTable.html#:~:text=El%20Ni%C3%B1o%20Years:%20(generally%20from%20October%20to,1969%2D1970%201972%2D1973%201976%2D1977%201977%2D1978%201982%2D1983%201986%2D1987%201991%2D1992"
1901,nino,
1902,nino,
1903,nino,
1904,nina,
1905,nino,
1906,nino,
1907,nina,
1908,nina,
1909,nina,
1910,normal,
1911,nino,
1912,nino,
1913,normal,
1914,nino,
1915,nino,
1916,nina,
1917,nina,
1918,nino,
1919,nino,
1920,nina,
1921,nina,
1922,normal,
1923,nino,
1924,nino,
1925,nina,
1926,nino,
1927,normal,
1928,nina,
1929,nina,
1930,nino,
1931,nino,
1932,nino,
1933,nino,
1934,normal,
1935,normal,
1936,normal,
1937,normal,
1938,nina,
1939,nino,
1939,nina,
1940,nino,
