location,county_muni,state,country,latitude,longitude
scammons_lagoon,mulege,baja_california_sur,mexico,27.7499996,-114.25
mission_bay,san_diego,california,usa,32.777574,-117.229321
ensenada,ensenada,baja_california,mexico,31.8423287,-116.6099414
del_mar,san_diego,california,usa,32.958574,-117.2637655
coronado_islands,tijuana,baja_california,mexico,32.4207422,-117.2608143
magdalena_bay,comondu,baja_california_sur,mexico,24.5833326,-112
san_diego,san_diego,california,usa,32.8245525,-117.1089785
turtle_bay,mulege,baja_california_sur,mexico,27.6943941,-114.8965209
todos_santos_bay,ensenada,baja_california,mexico,31.7890284,-116.6749348
la_paz,la_paz,baja_california_sur,mexico,24.1164369,-110.302727
baja_california,na,baja_california,mexico,30.3593768,-115.5309449
santa_barbara,santa_barbara,california,usa,34.398587,-119.7498556
san_pedro,los_angeles,california,usa,33.7395016,-118.28357
dana_point,orange,california,usa,33.4692889,-117.6884229
salina_cruz,salina_cruz,oaxaca,mexico,16.1965239,-95.196783
alamitos,los_angeles,california,usa,33.7666973,-118.1741112
long_beach,los_angeles,california,usa,33.800208,-118.156115
balboa_beach,orange,california,usa,33.5970701,-117.8911576
cedros_island,ensenada,baja_california,mexico,28.2012034,-115.2522841
los_angeles,los_angeles,california,usa,34.020479,-118.4117325
santa_rosa_island,santa_barbara,california,usa,33.9659616,-120.1104458
san_quintin,san_quintin,baja_california,mexico,30.5711336,-115.9413448
santa_barbara_channel,na,california,usa,34.2419435,-119.89
french_frigate_shoals,na,hawaii,usa,23.7488886,-166.146111
point_vincente,los_angeles,california,usa,33.7418706,-118.4107343
catalina_island,los_angeles,california,usa,33.3889849,-118.4549433
gulf_of_calfornia,na,na,mexico,27.3262879,-110.8491614
oceanside,san_diego,california,usa,33.2259756,-117.3175415
hermosa_beach,los_angeles,california,usa,33.8646948,-118.3974148
astoria,clatsop,oregon,usa,46.1915184,-123.814913
punta_banda,ensenada,baja_california,mexico,31.7196805,-116.662891
port_harford_bay,san_luis_obispo,california,usa,35.1705927,-120.755477
monterey_bay,monterey,california,usa,36.7896928,-121.9442208
pigeon_point,san_mateo,california,usa,37.1829202,-122.3928022
soquel,santa_cruz,california,usa,37.0019613,-121.9471344
santa_monica,los_angeles,california,usa,34.0218605,-118.4807555
santa_catalina_island,los_angeles,california,usa,33.3889849,-118.4549433
san_juan_capistrano,orange,california,usa,33.5063384,-117.6487884
venice,los_angeles,california,usa,33.9874998,-118.4617152
california,na,california,usa,37.2691675,-119.306607
magdalena_islands,comondu,baja_california_sur,mexico,24.5833326,-112
corral_canyon,los_angeles,california,usa,34.0346669,-118.7348047
santa_cruz_islands,santa_barbara,california,usa,34.0184307,-119.7250486
east_san_pedro,los_angeles,california,usa,33.7395016,-118.28357
almejas_bay,comondu,baja_california_sur,mexico,24.0904761,-110.3348514
redondo_beach,los_angeles,california,usa,33.854634,-118.3771421
la_jolla,san_diego,california,usa,32.8725212,-117.248572
coronados,tijuana,baja_california,mexico,32.4207422,-117.2608143
rosarito_beach,playas_de_rosarito,baja_california,mexico,32.3594973,-117.0574025
catalina_channel,los_angeles,california,usa,33.3889849,-118.4549433
cape_colonet,ensenada,baja_california,mexico,30.9704609,-116.3335471
point_loma,san_diego,california,usa,32.7123811,-117.2160231
point_vincent,los_angeles,california,usa,33.7418706,-118.4107343
bahia_de_los_angeles,san_quintin,baja_california,mexico,28.9514674,-113.5590315
